round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T13:00:51.399129+00:00,False,False,[],[],[],16349,"{""cache_read_tokens"":3200,""input_tokens"":3914,""output_tokens"":114}","{""cache_read_tokens"":3200,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3914,""latency_seconds"":3.319820000004256,""ledger_id"":1001,""output_tokens"":114,""request_body_sha256"":""a61deeac7f2debefea800747f21cf59eb495c83b3fe63081feaef2c7a704fe3b"",""request_bytes"":16349,""requested_model"":""EB-GLM-5.2"",""response_bytes"":986,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""04fdbe5e33b5f73ebc25c83d3fd7a5ffce1c9d94106a4adb84a9945fd5f0ac6d"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3200,""completion_cost"":0.0,""completion_tokens"":114,""prompt_cost"":0.0,""prompt_tokens"":3914,""prompt_tokens_details"":{""cached_tokens"":3200},""reasoning_tokens"":0,""total_tokens"":4028},""utc_end"":""2026-09-15T13:00:54.817271+00:00"",""utc_start"":""2026-09-15T13:00:51.478483+00:00""}"
2,2026-09-15T13:00:56.996901+00:00,False,False,[],[],[],30022,"{""cache_read_tokens"":3456,""input_tokens"":7218,""output_tokens"":113}","{""cache_read_tokens"":3456,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":7218,""latency_seconds"":3.4459952999895904,""ledger_id"":1002,""output_tokens"":113,""request_body_sha256"":""88f3f9d25cc79ef627aafd39e72aad58dfbc64c18620845989c73538a52596d6"",""request_bytes"":30022,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1079,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""0fe5294f02c33884a237b260cafd8abfd09d35ac0102c44b7193f8a3b93732ea"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3456,""completion_cost"":0.0,""completion_tokens"":113,""prompt_cost"":0.0,""prompt_tokens"":7218,""prompt_tokens_details"":{""cached_tokens"":3456},""reasoning_tokens"":0,""total_tokens"":7331},""utc_end"":""2026-09-15T13:01:00.540765+00:00"",""utc_start"":""2026-09-15T13:00:57.077748+00:00""}"
3,2026-09-15T13:01:00.772477+00:00,False,False,"[""e1"",""e2""]",[],[],37874,"{""cache_read_tokens"":6016,""input_tokens"":9199,""output_tokens"":133}","{""cache_read_tokens"":6016,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9199,""latency_seconds"":3.4366724000137765,""ledger_id"":1003,""output_tokens"":133,""request_body_sha256"":""150eb1f86b1a726856bf1abf3d7fd1e8205ff480f29110f73637cd75eee8b152"",""request_bytes"":37874,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1139,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""362d6fa42ff5a26731db5064140bb417f9d68b5a6bf7d3ad213f82a8278db462"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":6016,""completion_cost"":0.0,""completion_tokens"":133,""prompt_cost"":0.0,""prompt_tokens"":9199,""prompt_tokens_details"":{""cached_tokens"":6016},""reasoning_tokens"":0,""total_tokens"":9332},""utc_end"":""2026-09-15T13:01:04.314332+00:00"",""utc_start"":""2026-09-15T13:01:00.858473+00:00""}"
4,2026-09-15T13:01:04.481249+00:00,True,False,"[""e1"",""e2"",""e3"",""e4""]",[],[],36456,"{""cache_read_tokens"":896,""input_tokens"":8753,""output_tokens"":62}","{""cache_read_tokens"":896,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":8753,""latency_seconds"":4.262521099997684,""ledger_id"":1004,""output_tokens"":62,""request_body_sha256"":""6712c07c9ee1d4f38089107401e7ba6aa2b6dea686e669e40ff2d2c6d6adee1d"",""request_bytes"":36456,""requested_model"":""EB-GLM-5.2"",""response_bytes"":776,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""74cf302631fb46e3117de2410926a64724631353a2eaddb5ecfd25bd0078697e"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":896,""completion_cost"":0.0,""completion_tokens"":62,""prompt_cost"":0.0,""prompt_tokens"":8753,""prompt_tokens_details"":{""cached_tokens"":896},""reasoning_tokens"":0,""total_tokens"":8815},""utc_end"":""2026-09-15T13:01:08.845033+00:00"",""utc_start"":""2026-09-15T13:01:04.566090+00:00""}"
