round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T16:08:51.179762+00:00,False,False,[],[],[],17476,"{""cache_read_tokens"":3456,""input_tokens"":4097,""output_tokens"":145}","{""cache_read_tokens"":3456,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":4097,""latency_seconds"":4.1990947000158485,""ledger_id"":1475,""output_tokens"":145,""request_body_sha256"":""0afc50186ed6002301d5ff4cefb66ef29a00da1e77ad0aa1983a64077579205d"",""request_bytes"":17476,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1222,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""55b17dffc568d067d5d92f845656938098fd34445ce6c4181f3a0f33619b1ada"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3456,""completion_cost"":0.0,""completion_tokens"":145,""prompt_cost"":0.0,""prompt_tokens"":4097,""prompt_tokens_details"":{""cached_tokens"":3456},""reasoning_tokens"":0,""total_tokens"":4242},""utc_end"":""2026-09-15T16:08:55.489633+00:00"",""utc_start"":""2026-09-15T16:08:51.272901+00:00""}"
2,2026-09-15T16:08:58.661227+00:00,False,False,"[""e1""]",[],[],36306,"{""cache_read_tokens"":3584,""input_tokens"":8677,""output_tokens"":184}","{""cache_read_tokens"":3584,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":8677,""latency_seconds"":3.4302781999867875,""ledger_id"":1476,""output_tokens"":184,""request_body_sha256"":""e4e9f3bf90f2ed52792c52d72ce3ce0577590560d40b382662727bc4719f3e9f"",""request_bytes"":36306,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1369,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""86122c1f01d28ef541cf51c2d92d809b4f79e39051555ebe2813bf528e1253f3"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3584,""completion_cost"":0.0,""completion_tokens"":184,""prompt_cost"":0.0,""prompt_tokens"":8677,""prompt_tokens_details"":{""cached_tokens"":3584},""reasoning_tokens"":0,""total_tokens"":8861},""utc_end"":""2026-09-15T16:09:02.209969+00:00"",""utc_start"":""2026-09-15T16:08:58.759047+00:00""}"
3,2026-09-15T16:09:04.385974+00:00,False,False,"[""e1"",""e2""]",[],[],52134,"{""cache_read_tokens"":7424,""input_tokens"":12571,""output_tokens"":219}","{""cache_read_tokens"":7424,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":12571,""latency_seconds"":4.549405199999455,""ledger_id"":1477,""output_tokens"":219,""request_body_sha256"":""fcc527fd3fb7abb5fa0783f72fb74b95df872d09f2d1c29bfb30e9d338b2cf46"",""request_bytes"":52134,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1447,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""28ec78b9299302db200fc760dedf36881d812b5deedcdd3db2967afc161ab42c"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":7424,""completion_cost"":0.0,""completion_tokens"":219,""prompt_cost"":0.0,""prompt_tokens"":12571,""prompt_tokens_details"":{""cached_tokens"":7424},""reasoning_tokens"":0,""total_tokens"":12790},""utc_end"":""2026-09-15T16:09:09.050397+00:00"",""utc_start"":""2026-09-15T16:09:04.482817+00:00""}"
4,2026-09-15T16:09:09.209729+00:00,True,False,"[""e1"",""e2"",""e3""]",[],[],44352,"{""cache_read_tokens"":1024,""input_tokens"":10705,""output_tokens"":32}","{""cache_read_tokens"":1024,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":10705,""latency_seconds"":3.2189812999858987,""ledger_id"":1478,""output_tokens"":32,""request_body_sha256"":""9fa8fa815c6bfcb02c9bc4aacb3f9374a3d79b6599211241e63f02096f537d3c"",""request_bytes"":44352,""requested_model"":""EB-GLM-5.2"",""response_bytes"":680,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""74d184eedabcd56029f47e4e8f904b9091aeb10a364bd9ad027ef8f2c43b4f77"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":1024,""completion_cost"":0.0,""completion_tokens"":32,""prompt_cost"":0.0,""prompt_tokens"":10705,""prompt_tokens_details"":{""cached_tokens"":1024},""reasoning_tokens"":0,""total_tokens"":10737},""utc_end"":""2026-09-15T16:09:12.554885+00:00"",""utc_start"":""2026-09-15T16:09:09.314716+00:00""}"
