round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T11:16:03.408392+00:00,False,False,[],[],[],16223,"{""cache_read_tokens"":0,""input_tokens"":3870,""output_tokens"":196}","{""cache_read_tokens"":0,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3870,""latency_seconds"":5.189699000009568,""ledger_id"":760,""output_tokens"":196,""request_body_sha256"":""f04ab436073f1d8df23d07c19d6249d5305d80faa99f820cf8b53b35eb4a8b16"",""request_bytes"":16223,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1329,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""43f947157098a327ad936908115d8d7b6a7905f42bc21fd7802ee57dca86cd0e"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":0,""completion_cost"":0.0,""completion_tokens"":196,""prompt_cost"":0.0,""prompt_tokens"":3870,""prompt_tokens_details"":{""cached_tokens"":0},""reasoning_tokens"":0,""total_tokens"":4066},""utc_end"":""2026-09-15T11:16:08.685975+00:00"",""utc_start"":""2026-09-15T11:16:03.480197+00:00""}"
2,2026-09-15T11:16:24.834811+00:00,False,False,[],[],[],40026,"{""cache_read_tokens"":3328,""input_tokens"":9599,""output_tokens"":207}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9599,""latency_seconds"":5.4471305000188295,""ledger_id"":761,""output_tokens"":207,""request_body_sha256"":""7b512fc0f9debbce30ca3e9365a20cf426c611f6ca8ece818f3f2a5bbcf09e0b"",""request_bytes"":40026,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1497,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""feceb118b232302eedf35ec0f35b63f0c3f989f35a2d98888f8870acdff54242"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":207,""prompt_cost"":0.0,""prompt_tokens"":9599,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":9806},""utc_end"":""2026-09-15T11:16:30.367961+00:00"",""utc_start"":""2026-09-15T11:16:24.902642+00:00""}"
3,2026-09-15T11:16:37.651511+00:00,False,False,[],[],[],80622,"{""cache_read_tokens"":8320,""input_tokens"":19513,""output_tokens"":154}","{""cache_read_tokens"":8320,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19513,""latency_seconds"":3.680402800004231,""ledger_id"":762,""output_tokens"":154,""request_body_sha256"":""c50f0d70c3ba1f711f7ba28fbc8665a06463c244c2153446bc36235179679838"",""request_bytes"":80622,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1322,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""11c46c2501839e17a9e6309a5e7a1e4f9eb7199a5188bbac16b11bfd24912ce6"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":8320,""completion_cost"":0.0,""completion_tokens"":154,""prompt_cost"":0.0,""prompt_tokens"":19513,""prompt_tokens_details"":{""cached_tokens"":8320},""reasoning_tokens"":0,""total_tokens"":19667},""utc_end"":""2026-09-15T11:16:41.433185+00:00"",""utc_start"":""2026-09-15T11:16:37.726097+00:00""}"
4,2026-09-15T11:16:44.945649+00:00,False,True,"[""e1""]",[],[],83552,"{""cache_read_tokens"":3328,""input_tokens"":20166,""output_tokens"":167}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":20166,""latency_seconds"":5.131936500023585,""ledger_id"":763,""output_tokens"":167,""request_body_sha256"":""e8bd5a58ba309168a09484e7dce9e8c25f6cc6154c8990c91ca45441c1ff0afd"",""request_bytes"":83552,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1465,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""f41b969d67214ce35773b2d62c0c35966845191b69faf250bbfc9911b7126403"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":167,""prompt_cost"":0.0,""prompt_tokens"":20166,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":20333},""utc_end"":""2026-09-15T11:16:50.291004+00:00"",""utc_start"":""2026-09-15T11:16:45.127140+00:00""}"
5,2026-09-15T11:16:56.816499+00:00,False,True,"[""e1""]",[],[],83622,"{""cache_read_tokens"":3328,""input_tokens"":19815,""output_tokens"":213}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":19815,""latency_seconds"":6.983682399993995,""ledger_id"":764,""output_tokens"":213,""request_body_sha256"":""5ab9fe0c2123e030db4a9e57f2f6b86099ec3014294437fd4108ba9cce621fff"",""request_bytes"":83622,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1584,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""3d3455f65c9f488427fa1dd3d7c0cbd7f20730c96cdbf44b37165677d1548d49"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":213,""prompt_cost"":0.0,""prompt_tokens"":19815,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":20028},""utc_end"":""2026-09-15T11:17:03.905966+00:00"",""utc_start"":""2026-09-15T11:16:56.903863+00:00""}"
6,2026-09-15T11:17:11.952773+00:00,False,True,"[""e1""]","[""e1""]",[],87642,{},"{""cache_read_tokens"":null,""cache_write_tokens"":null,""error_type"":""HTTPError"",""finish_reason"":null,""http_status"":400,""input_tokens"":null,""latency_seconds"":5.378553699993063,""ledger_id"":765,""output_tokens"":null,""request_body_sha256"":""a802683ded70b8e546887142dae73fd4154d0944e7afea99253e4eb0f795bca2"",""request_bytes"":87642,""requested_model"":""EB-GLM-5.2"",""response_bytes"":378,""response_representation"":""original response body bytes"",""returned_model"":null,""sanitized_response"":false,""saved_response_body_sha256"":""da25899a2f2a324504633fb9f9a6e0c4c65c8bbc9b8b046a940974e81d888d69"",""sequence"":6,""usage"":{},""utc_end"":""2026-09-15T11:17:17.442207+00:00"",""utc_start"":""2026-09-15T11:17:12.044523+00:00""}"
