round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T13:44:04.565044+00:00,False,False,[],[],[],16157,"{""cache_read_tokens"":3200,""input_tokens"":3865,""output_tokens"":134}","{""cache_read_tokens"":3200,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3865,""latency_seconds"":2.977896199998213,""ledger_id"":1137,""output_tokens"":134,""request_body_sha256"":""7c3b4de711393e1eb56749a873d6860c113e222b59f4a83f8c44136a147268b7"",""request_bytes"":16157,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1158,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""f4ae90ddc18ee5a62cea4ec0331d81b75d1843e00aa7f1c73353d7c5e8f0dc1b"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3200,""completion_cost"":0.0,""completion_tokens"":134,""prompt_cost"":0.0,""prompt_tokens"":3865,""prompt_tokens_details"":{""cached_tokens"":3200},""reasoning_tokens"":0,""total_tokens"":3999},""utc_end"":""2026-09-15T13:44:07.750337+00:00"",""utc_start"":""2026-09-15T13:44:04.756503+00:00""}"
2,2026-09-15T13:44:11.037598+00:00,False,False,[],[],[],35550,"{""cache_read_tokens"":3328,""input_tokens"":8486,""output_tokens"":150}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":8486,""latency_seconds"":4.714250699995318,""ledger_id"":1138,""output_tokens"":150,""request_body_sha256"":""dbca5f025edac46c3095e55ed473753db5a87cfac9335c5e4bb4400c929d6e93"",""request_bytes"":35550,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1226,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""0787b9d8746245eab2586dbf020247ab8af56b75bf9a0aff08bdbab246f4c2d9"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":150,""prompt_cost"":0.0,""prompt_tokens"":8486,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":8636},""utc_end"":""2026-09-15T13:44:15.853218+00:00"",""utc_start"":""2026-09-15T13:44:11.121063+00:00""}"
3,2026-09-15T13:44:15.961585+00:00,False,False,[],[],[],36840,"{""cache_read_tokens"":7296,""input_tokens"":8724,""output_tokens"":67}","{""cache_read_tokens"":7296,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":8724,""latency_seconds"":1.7819629999867175,""ledger_id"":1139,""output_tokens"":67,""request_body_sha256"":""47092e0d741d135d62473da182abc549360acec60ffb863d9cf7ea3dd10fc78d"",""request_bytes"":36840,""requested_model"":""EB-GLM-5.2"",""response_bytes"":859,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""445788c5b7fffc5a944062873d4b53ac0f96f35a3cc42c5638f10417bb0d8f1e"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":7296,""completion_cost"":0.0,""completion_tokens"":67,""prompt_cost"":0.0,""prompt_tokens"":8724,""prompt_tokens_details"":{""cached_tokens"":7296},""reasoning_tokens"":0,""total_tokens"":8791},""utc_end"":""2026-09-15T13:44:17.856985+00:00"",""utc_start"":""2026-09-15T13:44:16.058067+00:00""}"
4,2026-09-15T13:44:20.661060+00:00,True,False,[],[],[],43664,"{""cache_read_tokens"":896,""input_tokens"":10285,""output_tokens"":88}","{""cache_read_tokens"":896,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":10285,""latency_seconds"":3.2525235999783035,""ledger_id"":1140,""output_tokens"":88,""request_body_sha256"":""779c18075a4a5f32e091dbd2be0a274547c37da3949827db569e87345a6b34b7"",""request_bytes"":43664,""requested_model"":""EB-GLM-5.2"",""response_bytes"":909,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""6fd8ebb36790dec277feed70866c7f1ff20e74175298be03778940e1afb9f001"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":896,""completion_cost"":0.0,""completion_tokens"":88,""prompt_cost"":0.0,""prompt_tokens"":10285,""prompt_tokens_details"":{""cached_tokens"":896},""reasoning_tokens"":0,""total_tokens"":10373},""utc_end"":""2026-09-15T13:44:24.019480+00:00"",""utc_start"":""2026-09-15T13:44:20.750840+00:00""}"
