round,ref,visible,shelf_restored,shelf_evicted
1,e1,False,False,False
2,e1,False,False,False
3,e1,False,False,False
4,e1,False,False,False
5,e1,False,False,False
6,e1,False,False,False
7,e1,False,False,False
8,e1,False,False,False
9,e1,False,False,False
10,e1,False,False,False
11,e1,False,False,False
12,e1,False,False,False
13,e1,False,False,False
14,e1,True,False,False
15,e1,True,False,False
16,e1,True,False,False
