round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T14:07:35.618565+00:00,False,False,[],[],[],16157,"{""cache_read_tokens"":3840,""input_tokens"":3865,""output_tokens"":79}","{""cache_read_tokens"":3840,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3865,""latency_seconds"":3.675751200004015,""ledger_id"":1184,""output_tokens"":79,""request_body_sha256"":""7c3b4de711393e1eb56749a873d6860c113e222b59f4a83f8c44136a147268b7"",""request_bytes"":16157,""requested_model"":""EB-GLM-5.2"",""response_bytes"":937,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""3977639448214263e70b27564cef4f285e4c86c16275a1e99e5dd0f4d6e8c728"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3840,""completion_cost"":0.0,""completion_tokens"":79,""prompt_cost"":0.0,""prompt_tokens"":3865,""prompt_tokens_details"":{""cached_tokens"":3840},""reasoning_tokens"":0,""total_tokens"":3944},""utc_end"":""2026-09-15T14:07:39.412149+00:00"",""utc_start"":""2026-09-15T14:07:35.719884+00:00""}"
2,2026-09-15T14:07:41.934951+00:00,False,False,[],[],[],30253,"{""cache_read_tokens"":3328,""input_tokens"":7278,""output_tokens"":188}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":7278,""latency_seconds"":4.290722500008997,""ledger_id"":1185,""output_tokens"":188,""request_body_sha256"":""344217b2063221d3f4c24760029fe8d4e44e915ea66691d57f117b297fa9e320"",""request_bytes"":30253,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1383,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""93f46d5f6e7de6b2340fac771a08d8cbbbcc724a3594177f846729c245dbaaa2"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":188,""prompt_cost"":0.0,""prompt_tokens"":7278,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":7466},""utc_end"":""2026-09-15T14:07:46.347305+00:00"",""utc_start"":""2026-09-15T14:07:42.039662+00:00""}"
3,2026-09-15T14:07:48.214768+00:00,False,False,[],[],[],41556,"{""cache_read_tokens"":6016,""input_tokens"":10072,""output_tokens"":76}","{""cache_read_tokens"":6016,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":10072,""latency_seconds"":2.2468083999992814,""ledger_id"":1186,""output_tokens"":76,""request_body_sha256"":""8305f46c781e669e4b0ffb25563a1565d7955ac98e3db78daeda4d44fc932b56"",""request_bytes"":41556,""requested_model"":""EB-GLM-5.2"",""response_bytes"":872,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""23d9f586cda634348e8a1c3243cf08d857f8c595a5c8100444af4728b2a5cbac"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":6016,""completion_cost"":0.0,""completion_tokens"":76,""prompt_cost"":0.0,""prompt_tokens"":10072,""prompt_tokens_details"":{""cached_tokens"":6016},""reasoning_tokens"":0,""total_tokens"":10148},""utc_end"":""2026-09-15T14:07:50.677228+00:00"",""utc_start"":""2026-09-15T14:07:48.414279+00:00""}"
4,2026-09-15T14:07:50.844866+00:00,True,False,"[""e1""]",[],[],36384,"{""cache_read_tokens"":1024,""input_tokens"":8772,""output_tokens"":84}","{""cache_read_tokens"":1024,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":8772,""latency_seconds"":3.245052400015993,""ledger_id"":1187,""output_tokens"":84,""request_body_sha256"":""0035f96c85866e8869fa10629bfbe26fff9ff72dda51653d82256b8203657bef"",""request_bytes"":36384,""requested_model"":""EB-GLM-5.2"",""response_bytes"":879,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""d6cf7210a6be47135717c71a93388a30a9725d991f2c1aa1e275df4685d78247"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":1024,""completion_cost"":0.0,""completion_tokens"":84,""prompt_cost"":0.0,""prompt_tokens"":8772,""prompt_tokens_details"":{""cached_tokens"":1024},""reasoning_tokens"":0,""total_tokens"":8856},""utc_end"":""2026-09-15T14:07:54.223548+00:00"",""utc_start"":""2026-09-15T14:07:50.960620+00:00""}"
