round,utc,final,compacted,visible,shelf_restored,shelf_evicted,wire_bytes,usage,http
1,2026-09-15T11:26:16.404793+00:00,False,False,[],[],[],16151,"{""cache_read_tokens"":3840,""input_tokens"":3869,""output_tokens"":135}","{""cache_read_tokens"":3840,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":3869,""latency_seconds"":4.021235799998976,""ledger_id"":782,""output_tokens"":135,""request_body_sha256"":""fe019b884af954cf8777f10448535ff340cb76bb43e9ff9bfcb87c4cc5b7cdcd"",""request_bytes"":16151,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1203,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""8f57764bd909bd38b959cd633a38bffcc2d3ffd8d2832584d98410350e1ed4bc"",""sequence"":1,""usage"":{""cache_cost"":0.0,""cached_tokens"":3840,""completion_cost"":0.0,""completion_tokens"":135,""prompt_cost"":0.0,""prompt_tokens"":3869,""prompt_tokens_details"":{""cached_tokens"":3840},""reasoning_tokens"":0,""total_tokens"":4004},""utc_end"":""2026-09-15T11:26:20.511580+00:00"",""utc_start"":""2026-09-15T11:26:16.474164+00:00""}"
2,2026-09-15T11:26:27.354288+00:00,False,False,[],[],[],38363,"{""cache_read_tokens"":3328,""input_tokens"":9161,""output_tokens"":122}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9161,""latency_seconds"":3.041224399989005,""ledger_id"":783,""output_tokens"":122,""request_body_sha256"":""8bd110b50c306994174d48b0996774f74e98d31f3bee4abff9d9f30f2901ecec"",""request_bytes"":38363,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1165,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""dc51cd3bbe2e15b32e47b30478a00e7b4e0e330415b62e7f588fb32be8cb20e8"",""sequence"":2,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":122,""prompt_cost"":0.0,""prompt_tokens"":9161,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":9283},""utc_end"":""2026-09-15T11:26:30.489372+00:00"",""utc_start"":""2026-09-15T11:26:27.430840+00:00""}"
3,2026-09-15T11:26:30.613876+00:00,False,False,[],[],[],39592,"{""cache_read_tokens"":7936,""input_tokens"":9371,""output_tokens"":72}","{""cache_read_tokens"":7936,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":9371,""latency_seconds"":2.9674255999852903,""ledger_id"":784,""output_tokens"":72,""request_body_sha256"":""5af722b91616a055b4133b5466a74a711f030cdc5c7c72aedd08936fe73101a1"",""request_bytes"":39592,""requested_model"":""EB-GLM-5.2"",""response_bytes"":926,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""40dc5ac0f620f4f68adcd3e87e63de4194e40f18af6ad45836f36a20348f0d54"",""sequence"":3,""usage"":{""cache_cost"":0.0,""cached_tokens"":7936,""completion_cost"":0.0,""completion_tokens"":72,""prompt_cost"":0.0,""prompt_tokens"":9371,""prompt_tokens_details"":{""cached_tokens"":7936},""reasoning_tokens"":0,""total_tokens"":9443},""utc_end"":""2026-09-15T11:26:33.692594+00:00"",""utc_start"":""2026-09-15T11:26:30.706949+00:00""}"
4,2026-09-15T11:26:38.798671+00:00,False,False,[],[],[],58840,"{""cache_read_tokens"":8064,""input_tokens"":13946,""output_tokens"":151}","{""cache_read_tokens"":8064,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":13946,""latency_seconds"":4.749669899989385,""ledger_id"":785,""output_tokens"":151,""request_body_sha256"":""9c7ef98d60bda5fd40036852ec8ca0225d50d83c454d58cb70c367e37c22bf9d"",""request_bytes"":58840,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1235,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""45c130d9d725395f007c49a6de896aea35a45dc9c1041127ebc77ce39df7ca68"",""sequence"":4,""usage"":{""cache_cost"":0.0,""cached_tokens"":8064,""completion_cost"":0.0,""completion_tokens"":151,""prompt_cost"":0.0,""prompt_tokens"":13946,""prompt_tokens_details"":{""cached_tokens"":8064},""reasoning_tokens"":0,""total_tokens"":14097},""utc_end"":""2026-09-15T11:26:43.651976+00:00"",""utc_start"":""2026-09-15T11:26:38.884553+00:00""}"
5,2026-09-15T11:26:49.992689+00:00,False,False,[],[],[],78454,"{""cache_read_tokens"":12672,""input_tokens"":18611,""output_tokens"":156}","{""cache_read_tokens"":12672,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18611,""latency_seconds"":4.0717275999777485,""ledger_id"":786,""output_tokens"":156,""request_body_sha256"":""982a3252d8cd0962c79a485238d210c7301694e4e53924601cad52019c2b9e89"",""request_bytes"":78454,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1307,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""31c030d7719c620480c5533cd4750aa4c3aefaf7263a9d7a64da4db631ae45b8"",""sequence"":5,""usage"":{""cache_cost"":0.0,""cached_tokens"":12672,""completion_cost"":0.0,""completion_tokens"":156,""prompt_cost"":0.0,""prompt_tokens"":18611,""prompt_tokens_details"":{""cached_tokens"":12672},""reasoning_tokens"":0,""total_tokens"":18767},""utc_end"":""2026-09-15T11:26:54.164745+00:00"",""utc_start"":""2026-09-15T11:26:50.076189+00:00""}"
6,2026-09-15T11:26:59.496789+00:00,False,True,[],[],[],78967,"{""cache_read_tokens"":3328,""input_tokens"":18756,""output_tokens"":174}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18756,""latency_seconds"":6.091651499998989,""ledger_id"":787,""output_tokens"":174,""request_body_sha256"":""fb01e94cc68cf7cf9755551059ef615cc4785773b7570a90ecf044f75464bf1d"",""request_bytes"":78967,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1311,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""4ec71260a3e8a720b4910ca23fa22659f36cbe5a853ff04049f3c54029413a02"",""sequence"":6,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":174,""prompt_cost"":0.0,""prompt_tokens"":18756,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":18930},""utc_end"":""2026-09-15T11:27:05.706606+00:00"",""utc_start"":""2026-09-15T11:26:59.590297+00:00""}"
7,2026-09-15T11:27:10.419672+00:00,False,True,[],[],[],78233,"{""cache_read_tokens"":3328,""input_tokens"":18625,""output_tokens"":155}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18625,""latency_seconds"":5.106032399984542,""ledger_id"":788,""output_tokens"":155,""request_body_sha256"":""ab23e0e6371523c5d79db049c2d11ee72ea72e510c30a72857f2617646f3ea80"",""request_bytes"":78233,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1333,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""5fadd8a1f48a1c38c34763627ef4d265bd586fd9d024c3eab71580513bcf4b67"",""sequence"":7,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":155,""prompt_cost"":0.0,""prompt_tokens"":18625,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":18780},""utc_end"":""2026-09-15T11:27:15.625840+00:00"",""utc_start"":""2026-09-15T11:27:10.502837+00:00""}"
8,2026-09-15T11:27:20.606291+00:00,False,True,[],[],[],78236,"{""cache_read_tokens"":3328,""input_tokens"":18592,""output_tokens"":166}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18592,""latency_seconds"":5.608673100010492,""ledger_id"":789,""output_tokens"":166,""request_body_sha256"":""255033cccc6acba1761370fb20582d7483d0236063ad639f620f949db268ca66"",""request_bytes"":78236,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1356,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""749ca86fba6378a8e3b8170b2510f40974fe2701796decec1143b1d9b5754474"",""sequence"":8,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":166,""prompt_cost"":0.0,""prompt_tokens"":18592,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":18758},""utc_end"":""2026-09-15T11:27:26.344509+00:00"",""utc_start"":""2026-09-15T11:27:20.717055+00:00""}"
9,2026-09-15T11:27:34.609549+00:00,False,True,[],[],[],78233,"{""cache_read_tokens"":3328,""input_tokens"":18549,""output_tokens"":174}","{""cache_read_tokens"":3328,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":18549,""latency_seconds"":3.8796040999877732,""ledger_id"":790,""output_tokens"":174,""request_body_sha256"":""305484eb2fc0130eae6defbeb7675da459ff0219c083226234ce37576744c890"",""request_bytes"":78233,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1311,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""3a0c24a56a67d8622d3491a79120c23ee159ba9a3658fee1abbedec91c62a1da"",""sequence"":9,""usage"":{""cache_cost"":0.0,""cached_tokens"":3328,""completion_cost"":0.0,""completion_tokens"":174,""prompt_cost"":0.0,""prompt_tokens"":18549,""prompt_tokens_details"":{""cached_tokens"":3328},""reasoning_tokens"":0,""total_tokens"":18723},""utc_end"":""2026-09-15T11:27:38.602821+00:00"",""utc_start"":""2026-09-15T11:27:34.703089+00:00""}"
10,2026-09-15T11:27:38.861074+00:00,False,False,[],[],[],89156,"{""cache_read_tokens"":17280,""input_tokens"":21184,""output_tokens"":166}","{""cache_read_tokens"":17280,""cache_write_tokens"":null,""finish_reason"":""tool_calls"",""http_status"":200,""input_tokens"":21184,""latency_seconds"":5.039889800013043,""ledger_id"":791,""output_tokens"":166,""request_body_sha256"":""4cc2490d93f6054547d10b5e49ff13704b66fd894cd13ac2a9d22c81e2f3c782"",""request_bytes"":89156,""requested_model"":""EB-GLM-5.2"",""response_bytes"":1318,""response_representation"":""original response body bytes"",""returned_model"":""glm-5.2"",""sanitized_response"":false,""saved_response_body_sha256"":""30a9fcccd45b65a549f1923f8fe857029b4f859ca14c490db669edb0d46078f6"",""sequence"":10,""usage"":{""cache_cost"":0.0,""cached_tokens"":17280,""completion_cost"":0.0,""completion_tokens"":166,""prompt_cost"":0.0,""prompt_tokens"":21184,""prompt_tokens_details"":{""cached_tokens"":17280},""reasoning_tokens"":0,""total_tokens"":21350},""utc_end"":""2026-09-15T11:27:44.008174+00:00"",""utc_start"":""2026-09-15T11:27:38.951274+00:00""}"
